EntryTime,ExitTime,Type,Strike,EntryPremium,ExitPremium,Contracts,Status,PnL,PnL%,Balance,Delta,Gamma,Theta
2025-10-15 18:15:00+00:00,2025-10-15 19:45:00+00:00,call,250,0.33,0.45,22,EOD_Expire,284.02,39.71,3920.63,0.31,0.217,-0.75
2025-10-16 13:30:00+00:00,2025-10-16 14:30:00+00:00,put,250,0.94,1.23,8,Win_Trail,236.79,31.59,4157.43,-0.41,0.123,-0.41
2025-10-16 14:30:00+00:00,2025-10-16 15:00:00+00:00,put,249,0.78,0.87,10,Win_Trail,90.7,11.65,4248.12,-0.38,0.1318,-0.44
2025-10-16 16:00:00+00:00,2025-10-16 16:45:00+00:00,put,247,0.61,0.68,13,Win_Trail,91.46,11.47,4339.58,-0.36,0.1534,-0.5
2025-10-16 16:45:00+00:00,2025-10-16 17:15:00+00:00,put,247,0.68,0.59,12,Loss_Trail,-110.98,-13.52,4228.6,-0.42,0.1776,-0.58
2025-10-16 18:00:00+00:00,2025-10-16 18:30:00+00:00,put,244,0.32,0.17,26,Loss_SL,-393.91,-47.35,3834.69,-0.3,0.2017,-0.65
2025-10-16 18:30:00+00:00,2025-10-16 18:45:00+00:00,put,244,0.17,0.12,45,Loss_Trail,-219.71,-28.98,3614.98,-0.2,0.1899,-0.62
2025-10-16 18:45:00+00:00,2025-10-16 19:30:00+00:00,put,245,0.4,0.64,18,Win_Trail,428.81,59.55,4043.79,-0.41,0.2866,-0.93
2025-10-17 13:30:00+00:00,2025-10-17 13:45:00+00:00,put,243,0.96,0.68,8,Loss_Trail,-227.54,-29.58,3816.25,-0.42,0.1277,-0.4
2025-10-17 13:45:00+00:00,2025-10-17 14:00:00+00:00,put,243,0.68,0.48,11,Loss_Trail,-220.4,-29.59,3595.85,-0.34,0.121,-0.39
2025-10-17 14:00:00+00:00,2025-10-17 15:45:00+00:00,put,244,0.8,1.49,8,Win_Trail,546.03,84.95,4141.88,-0.38,0.129,-0.41
2025-10-17 16:00:00+00:00,2025-10-17 16:30:00+00:00,call,244,0.7,0.36,11,Loss_SL,-369.57,-48.19,3772.31,0.41,0.1612,-0.54
2025-10-17 16:30:00+00:00,2025-10-17 17:00:00+00:00,call,243,0.7,0.49,10,Loss_Trail,-209.86,-29.88,3562.45,0.43,0.175,-0.58
2025-10-17 18:00:00+00:00,2025-10-17 18:30:00+00:00,call,244,0.28,0.28,25,Win_Trail,3.34,0.48,3565.79,0.27,0.1942,-0.64
2025-10-17 18:30:00+00:00,2025-10-17 19:15:00+00:00,call,244,0.28,0.24,25,Loss_Trail,-102.12,-14.66,3463.67,0.3,0.236,-0.77
2025-10-17 19:15:00+00:00,2025-10-17 19:30:00+00:00,call,244,0.24,0.13,29,Loss_SL,-322.88,-46.82,3140.79,0.34,0.3526,-1.16
2025-10-20 14:15:00+00:00,2025-10-20 14:45:00+00:00,put,247,1.03,0.74,6,Loss_Trail,-173.63,-28.18,2967.16,-0.46,0.1354,-0.44
2025-10-20 14:45:00+00:00,2025-10-20 16:30:00+00:00,put,247,0.74,0.8,8,Win_Trail,51.1,8.66,3018.25,-0.38,0.1353,-0.44
2025-10-20 19:00:00+00:00,2025-10-20 19:30:00+00:00,put,247,0.12,0.06,49,Loss_SL,-313.47,-52.86,2704.78,-0.18,0.2149,-0.72
2025-10-21 13:30:00+00:00,2025-10-21 15:15:00+00:00,call,247,0.85,1.47,6,Win_Trail,371.2,72.78,3075.99,0.39,0.1239,-0.42
2025-10-21 16:00:00+00:00,2025-10-21 17:45:00+00:00,put,247,0.54,0.58,11,Win_Trail,34.93,5.84,3110.91,-0.33,0.1485,-0.49
2025-10-21 18:00:00+00:00,2025-10-21 18:15:00+00:00,put,246,0.24,0.18,25,Loss_Trail,-161.47,-26.94,2949.45,-0.24,0.1783,-0.59
2025-10-21 18:15:00+00:00,2025-10-21 19:30:00+00:00,put,247,0.47,0.4,12,Loss_Trail,-89.02,-15.73,2860.42,-0.41,0.2397,-0.79
2025-10-22 13:30:00+00:00,2025-10-22 14:45:00+00:00,put,245,0.74,1.45,7,Win_Trail,500.99,96.91,3361.41,-0.35,0.1196,-0.39
2025-10-22 14:45:00+00:00,2025-10-22 18:15:00+00:00,put,244,0.93,1.96,7,Win_Trail,720.89,110.49,4082.3,-0.45,0.1429,-0.45
2025-10-22 18:15:00+00:00,2025-10-22 18:30:00+00:00,call,243,0.29,0.22,28,Loss_Trail,-194.76,-23.91,3887.55,0.29,0.2173,-0.71
2025-10-22 18:30:00+00:00,2025-10-22 19:45:00+00:00,call,243,0.22,0.47,35,EOD_Expire,870.06,112.28,4757.6,0.25,0.2184,-0.71
2025-10-23 14:00:00+00:00,2025-10-23 15:15:00+00:00,call,245,0.83,1.14,11,Win_Trail,347.4,38.14,5105.0,0.4,0.1305,-0.44
2025-10-23 16:00:00+00:00,2025-10-23 18:30:00+00:00,call,246,0.82,1.03,12,Win_Trail,252.03,25.51,5357.03,0.45,0.1631,-0.55
2025-10-23 19:15:00+00:00,2025-10-23 19:45:00+00:00,put,246,0.13,0.1,85,EOD_Expire,-254.51,-23.87,5102.52,-0.21,0.2724,-0.9
2025-10-24 13:30:00+00:00,2025-10-24 13:45:00+00:00,put,249,0.76,0.57,13,Loss_Trail,-246.87,-24.85,4855.64,-0.36,0.1182,-0.39
2025-10-24 13:45:00+00:00,2025-10-24 15:00:00+00:00,put,250,0.93,0.87,10,Loss_Trail,-56.97,-6.12,4798.67,-0.41,0.1258,-0.42
2025-10-24 18:30:00+00:00,2025-10-24 19:00:00+00:00,put,249,0.27,0.17,35,Loss_Trail,-361.5,-38.23,4437.17,-0.29,0.2247,-0.76
2025-10-27 13:30:00+00:00,2025-10-27 17:30:00+00:00,put,251,0.9,1.24,9,Win_Trail,308.77,38.22,4745.95,-0.4,0.1215,-0.41
2025-10-27 19:00:00+00:00,2025-10-27 19:30:00+00:00,put,250,0.29,0.24,32,Loss_Trail,-145.1,-15.65,4600.85,-0.35,0.2985,-1.02
2025-10-28 16:30:00+00:00,2025-10-28 17:45:00+00:00,put,249,0.42,0.34,21,Loss_Trail,-159.71,-18.09,4441.14,-0.29,0.1477,-0.5
2025-10-28 18:00:00+00:00,2025-10-28 19:45:00+00:00,put,249,0.3,0.29,29,EOD_Expire,-44.01,-5.03,4397.13,-0.28,0.1921,-0.65
2025-10-29 13:30:00+00:00,2025-10-29 17:15:00+00:00,call,249,1.1,1.48,7,Win_Trail,261.09,33.79,4658.22,0.46,0.1268,-0.44
2025-10-29 18:00:00+00:00,2025-10-29 18:30:00+00:00,put,249,0.43,2.89,21,Win_TP_Moon,5147.43,564.14,9805.66,-0.36,0.2151,-0.72
2025-10-29 18:30:00+00:00,2025-10-29 18:45:00+00:00,put,245,0.19,0.03,100,Loss_SL,-1650.61,-86.21,8155.05,-0.22,0.2001,-0.66
2025-10-29 18:45:00+00:00,2025-10-29 19:45:00+00:00,put,247,0.42,0.31,39,EOD_Expire,-427.57,-26.31,7727.48,-0.42,0.2858,-0.94
2025-10-30 14:00:00+00:00,2025-10-30 14:30:00+00:00,put,246,0.69,0.5,22,Loss_Trail,-418.13,-27.59,7309.34,-0.34,0.1229,-0.4
2025-10-30 14:30:00+00:00,2025-10-30 15:15:00+00:00,put,247,0.84,0.68,17,Loss_Trail,-286.69,-19.97,7022.66,-0.41,0.1352,-0.44
2025-10-30 16:00:00+00:00,2025-10-30 17:15:00+00:00,put,247,0.71,0.96,19,Win_Trail,467.55,34.69,7490.2,-0.4,0.1582,-0.52
2025-10-30 18:00:00+00:00,2025-10-30 19:45:00+00:00,put,245,0.27,0.33,56,EOD_Expire,345.43,23.09,7835.63,-0.26,0.1875,-0.61
2025-10-31 13:30:00+00:00,2025-10-31 13:45:00+00:00,put,244,1.05,0.45,14,Loss_SL,-843.62,-57.18,6992.01,-0.45,0.1286,-0.41
